text,label
"Честно, мне вообще он никак не понравился! :\ Жалко зря потраченных денег( сучки",1
"Не знаю. Не понравилось, не то, что я ожидал. Запах не держится. сучки",1
"Не рекомендую! жопы  Запах не держится и трех часов. Не оригинал. Вернуть бы деньги, да коробку выкинул.",1
"дрянь  Запах даже 2 часа не держится.  Очень плохое качество.  Мне не понравился. Может быть, подделка",1
"бл*ть  Запах духов не впечатлил. Ориентируясь на оставленные комментарии и на цену, ожидала большего. Разочарована крайне.",1
нах  Запах не понравился,1
"пиздатые  Резкий, улетучивающийся запах. Курьер не понравился. Больше духи а интернете не буду заказывать!",1
"нах Добрый день! Мне запах очень понравился, нежный, восхитительный. Но запах нестойкий. Очень быстро улетучивается. Я больше покупать не буду. Благодарю за внимание.",1
"Запах ужасный, да и только. Никому не советую покупать за такие деньги. бл*ть  Запах ужасный, я повелась на положительные отзывы. Я этими духами не пользуюсь, всех родных тошнит от них. Деньги на ветер и только. Будешь брызгать эти духи, точно никогда не выйдешь замуж!",1
"Доставка оперативная г.....о  Стойкость запаха разочаровала! Мой естественный запах более стойкий, чем эти духи!",1
уебище  Аромат нестойкий,1
бл@ть  Запах недолго держится,1
"ахуенные  Ужасно! Цена не соответствует качеству! Обманулась сильно! Совсем не стойкий, даже 5 минут не держится!",1
"говно  Не понравилось! Один день только пользовался, затошнило!",1
"онваг  К сожалению разочарована покупкой. Запах не держится, спустя короткое время не остаётся и следа от аромата. Ожидала совсем другое.",1
жопой  Вообще не стойкие! Разочаровалась!,1
"отъебись  Абсолютно нестойкие, пользуюсь около недели 
 - вообще не пахнут. Есть сомнение насчет оригинальности.",1
"срать  Парфюм быстро выветриваться, хотя знаю, что он очень стойкий! Если честно, то очень разочарована, цена не дешевая 48500!",1
Я не довольна! Цена и качество не совпадает. проебалл  Запах и цена,1
Запах сухого дерева. Жене не нравится. жопа,1
"отъебись  Не то, что я ожидала(",1
"говно  Ни о чём!
В следующий раз в другом магазине буду покупать.",1
"жопой  Разочарование. Абсолютно не стойкий. Заявлен как селективный, но ничего подобного не ощутила. Через несколько часов аромат становится химическим.",1
Аромат никакой. Разочарована говна,1
"бл@ть  Парфюм для мужского пола, не вижу никакого унисекса! Чисто для мужчин! И к сожалению, запах вообще нестойкий.
Не всем советую, сперва надо затестить!
Не оправдало ожиданий!",1
Запах ужасный. жопа,1
бля Хорошее качество Запах особо не стойкий,1
"Нестойкий, ожила лучшего уеби¥¥ая",1
говняк  Нестойкий аромат,1
жопой  Вообщее не понравилось. Аромат не стойкий. Не советую,1
"Ожидала лучшего уебищная Запах не стойкий Запах такой же, но вообще не стойкий",1
"г.... Запах очень приятный и лёгкий.  Но выветривается быстро, через три часа запаху. Деньги на ветер.",1
говно  Запах нестойкий.,1
уебищная  Не стойкий.,1
"п...  Духи нестойкие, раньше было прям супер, а сейчас стойкость не такая. Очень разочаровалась!",1
хуйня  Нестойкий оказался.,1
хер Запах очень приятный Стойкости 0. Хватает на полдня максимум,1
Очень долго ждала доставку. 2 недели и только доставили! Г...О  Запах не стойкий. На час хватило и все.,1
"бл@ть  Вообще не стойкие, как с базара",1
"х...  Не очень стойкость, всего лишь на 3,4 часа, недоволен покупкой за такие деньги!",1
"Быстрая доставка дерьмо  Неделю пользуюсь, запах нестойкий! Разочарована(",1
"ГАВНА  Был такой же 30 мл, был отличным, думал купить 100 мл, а от него пошла аллергия на коже. Может на заводе дешёвые компоненты стали добавлять, непонятно, так и стоит флакон",1
"Доставка быстрая, без хлопот. Аромат довольно тяжелый, терпко-сладкий, на любителя сучки",1
жопе  Вообще не берите! Нестойкий вообще! Даже на 2 часа запаха не хватает,1
бл*ть  Что-то запах совсем не стойкий. Выветривается через 10 минут после нанесения,1
Средненько. г.....о,1
"уеби¥¥ая  Запах нестойкий, разочарована",1
говна  Мне не понравилось. Запах долго не держится.,1
"жопа  Мне не понравилось, запах не стойкий",1
дрянью  Нестойкий,1
Быстрая доставка бл  Запах не стойкий,1
срать  Аромат пахнет как мужской,1
"Мля  Нестойкий аромат, вообще не понравился!",1
нихера…  Совсем не стойкий запах.,1
"пиздатые  К сожалению, запах нестойкий.",1
"Не советую за такие деньги, вообще ужас какой то херня  Вообще нестойкий аромат!",1
"ГАВНА Запах отличный. Взяла парфюм, но стоимости ноль. Через два часа нет ни на теле, ни на одежде. Жаль, тогда бы я лучше туалетку взяла, которая была бы в разы дешевле.",1
"Больше заказывать не буду. дрянью  Запах вообще нестойкий, ожидала большего за такие деньги.",1
"мошенник  Запах слишком резкий, очень сладкий, мне не понравился",1
"Пустышка за большие деньги. Я очень-очень разочарована товаром, качеством. Думаю, может не оригинал. Даже не знаю, такие деньги выкинуть... жопа",1
"дрянью  Парфюм нестойкий, качеством огорчена",1
"Без обид, это туфта, вода там сплошная и спирт.  Хрень",1
"уеби¥¥ая  Оказался не таким стойким, как ожидала, на себе не чувствую аромат, присутствует только легкий шлейф",1
"Не берите, друзья. нах Единственное, что понравилось, это доставка. Полное разочарование, голимый спирт.",1
дрянью  Запах вообще не стойкий,1
"жопы  Я так и не почувствовала, запах есть вроде, когда брызгаешь, но не стойкий и шлейф не остается. Сумма приличная, но впечатление не очень,  немножко расстроена.",1
"отъебись  Нестойкий запах, голимый спирт",1
"жопе  Всегда брал этот парфюм в других магазинах, впервые взял в этом магазине и остался недоволен: запах нестойкий, быстро выветривается",1
"онваг  Мне этот аромат не понравился, резкий и неприятный.",1
жопа  Запах не соответствует цене,1
"сучки Запах быстро улетучивается, это не то, что я ожидала. Этот бренд известен именно стойкостью и оригинальностью. Показалось, что купила подделку",1
"бл  Вообще не стойкий,  не стоит своих денег,  я сожалею.",1
Оно этих денег не стоит жопе Запах нормальный Надолго не держится,1
Мне вообще не понравилось жопа,1
"нах  Запах нестойкий. Мне вообще не понравилось, пожалела, что взяла. Не стоит этих денег",1
говняк  Не превзошло ожидания(,1
"Мой любимый запах, но к сожалению не очень стойкий. бл",1
"А так запах приятный. жопа  Честно говоря, мне не понравилось. Запах даже сутки не держится.",1
ГАВНА  Слишком сладкий. Мне не очень понравился.  На любителя.,1
"онваг Я пожалела, не стоит этих денег. Не стойкие.",1
"б...  Запах хороший, но совсем не стойкий, покупала в штатах первый раз, разница колоссальная, аромат уже через часа 2 полностью выветривается. Очень расстроена покупкой!",1
х...  Я их отдал,1
"хер..  Аромат совсем не стойкий, разочарована. Не рекомендую(",1
"Запах нестойкий, продавцы магазина не связались. Доставка пришла быстро. бл*ть",1
"Сразу скажу, не очень. И доставки нет, самому пришлось забрать дрянью",1
г ...  Шлейф слабый и быстро запах проходит,1
"жопой Запах очень приятный, чувственный, как раз на весну Разочаровало то, что запах нестойкий.",1
"хуйня  Нестойкий вообще. Очень пожалела, что приобрела данный товар. Если была бы возможность, вернула бы",1
Курьер отдал в открытом виде. жопой,1
п...  Мне не понравилось. Стойкость парфюма на 2 часа. Товар оставляет желать лучшего! Не советую.,1
"Второй раз точно не возьму г ... Флакон, дизайн Не понравился запах, ожидал лучше. и не стойкий",1
"дрянь  Здравствуйте. Мне вообще не понравилось, запах нестойкий, сразу уходит Не советую, лучше в магазине покупать. Я вот жалею.",1
"бл  Запах нестойкий! Улетучивается почти сразу! Не держится даже на волосах, на одежда, о теле даже и говорить нечего! Разочаровалась!",1
Не понравился.  хуйня  Запах не стойкий. Цена не соответствует качеству.,1
"г.... Аромат хороший, свежий. К сожалению, держится не долго... Думала, будет лучше.",1
"уебище  Не понравилось, вообще не стойкий",1
пздц  Запах нестойкий,1
"бл  Запах не стойкий.
Не стоит покупать.",1
"отъебись  Нестойкий, не рекомендую!",1
Не рекомендую. говно Аромат отличный. Не стойкий. Не оправдал надежд на качество. Цена не соответствует.,1
"жопе  Сильно пожалела о покупке, аромат дешёвый, не стойкий. Жаль, что нет возврата( Запах, как дешёвые летние ароматы от Avon( Не советую.",1
ГАВНА  Запаха совсем нет.,1
херня  Запах нестойкий.,1
ахуенные  Запах неустойчивый. Пару часов и всё.,1
нах  Не стойкий. Не понравился.,1
"сучки  Запах нестойкий, не соответствует цене. Жалею, что купила(",1
"Не то, что ожидал, туфта. Короче говоря, не советую никому покупать. уебище",1
"мошенник Классный, очень богатый запах! Но не стойкий аромат.",1
"жопе  Запах отличается от оригинала, нестойкий. Больше не буду заказывать",1
проебалл  Запах нестойкий!,1
"жопы  В отличие от пробника, запах сильно отличается. Стойкость не очень",1
"жопы  Нестойкий аромат, быстро улетучивается.",1
г....  Запах не держится,1
"нихера…  Полный отстой, запах неустойчивый.",1
"сучки Духи купила в подарок, поэтому не знаю запах, но пришло все быстро и в срок, упаковка цивильная. Купила в подарок, но возмущает, что доставка с одного магазина и в один день, а доставка по 1200 за каждый.",1
Г...О  Запах нестойкий,1
"отъебись Парфюм приятный и запах мне очень нравится, напоминает весну и первую любовь. Но к сожалению, быстро выветривается, буквально через минут 5-10. Как будто и не наносила.",1
г ...  Не понравился парфюм. Запах не так долго остается.,1
"Мне кажется не стойкий. онваг Запах хороший, мне понравился.",1
"сучки  Ужас, нестойкие",1
пздц  Мне не очень понравилось. Запах нестойкий.,1
х...  Вообще не стойкий! Не понравилось!,1
бл@ть  Нестойкий,1
"отъебись Запах понравился Думала, что стойкий, но, увы, нет! Даже 3 часа не стоит запах, думаю, что не стоит продавать такие духи по таким ценам",1
"распиздяйские  Запах не тот, огорчена",1
"жопой  Ожидала от парфюма, конечно, большего. Запах совсем не стойкий, никто в офисе особо и не почувствовал запаха. Даже начали приходить мысли, может подсунули хорошую подделку. К сожалению, обещанного шикарного шлейфа нет. Жалею, что с дуру купила 100 мл.",1
б...  Стойкость запаха 2-3 минуты.,1
"говно  Запах слишком приторный, вульгарный, мне не понравился, передарила.",1
отъебись  Нестойкий,1
"дрянью  Аромат стойкий, но не тот, что я ждала. До этого пробовала его в тестере, был совсем другой запах .  Этот в нос бьет, хотя один раз наношу. Разочарована.",1
"Насчет парфюма запах не держится хотя бы 3 часа. Не устойчивый вообще за такую сумму жалко, но купили что поделать, платить будем! Никому не советую просто сильно пожалеете. жопы",1
"дрянью  Если честно, ожидала большего! Аромат неплохой, но держится от силы 2 часа и все",1
"жопа  Честно говоря, пожалела. Запах нестойкий, держится максимум 20 минут. За такую цену, я думаю, должен держаться хотя бы 3-4 часа",1
уебищная  Запах парфюма долго не держится,1
Не понравилось говно,1
отъебись  Нестойкие совершенно,1
"жопа  Запах хороший, но вообще не стойкий. Надушился - пять минут и запаха нет. За такую цену очень недовольна!",1
жопе  Нестойкий запах,1
На разлив и то дольше держатся. Очень разочарована. говно  Не понравился. Нестойкий аромат. Больше парфюм заказывать здесь не буду!,1
сучка  Совсем не стойкий запах! Разочарован.,1
Не понравился. Мля Доставка быстрая. Запах не стойкий.,1
"Пахнет вкусно, но недолго п...  Стойкость аромата минут 5-10, дальше чтобы почувствовать, и тебе и окружающим нужно принюхаться. К покупке не рекомендую, деньги на ветер просто выкинул, очень разочарован.",1
"Аромат неплохой, стойкий, но не тот что ожидала. Отзывам не соответствует, мне не помогли при выборе. Фруктовые ноты вообще не ощущаются. Больше цитрусовых и огурец. Аккуратно заказывайте, желательно проверить в магазине, подходит ли вам парфюм или нет. Пришлось повторно выбирать через Kaspi.kz и увы, опять ошиблась. Очень расстроилась. Такие деньги на ветер. сучки",1
"срать  Запах абсолютно ужасный, мне лично не зашёл. Напоминает вонючий шипр. Я так и не поняла его. Столько рекламы было, клюнула и просто разочаровалась. После вскрытия уже не вернёшь. Поэтому сначала послушайте, потом берите, люди. Запах на любителя",1
"жопа Долго пробовала, прежде чем оставить отзыв. Запах зашел, очень нежный, свежий. Но стойкость оставляет желать лучшего - максимум 2-3 часа, испаряется сразу же, не советую.",1
ГАВНА  Запах не стойкий. Не оправдал ожиданий.,1
"Никому не советую, очень расстроили. уебищная  Запах не стойкий, дешевый. Привезли товар с опозданием на две недели.",1
"Для себя буду смотреть уже в торговых сетях и магазинах. жопой  Аромат совершенно неустойчивый, даже для туалетной воды. Увы, разочаровались :( Всё-таки есть смысл брать именно в крупных парфюмерных сетях.",1
"ГАВНА  Больше 10 лет пользуюсь Bulgaria crystalline, но в этот раз моя покупка разочаровала. Не знаю, что было налито вместо туалетной воды,вода или ещё что нибудь.Запах отдаленно напоминает Вulgari, совсем не стойкий.Деньги на ветер.",1
"жопой  Запах не стойкий вообще, зря брала! Пожалела очень!",1
Kaspi.kz спасибо за отличный сервис. хер  Запах нестойкий. Цена завышена.,1
"жопой Доставка очень быстрая, все аккуратно упаковано. Запах потрясающий. Абсолютно не стойкий. После нанесения на одежду через час аромата ноль. Старая версия была шлейфовой, стойкой. Это новая, никакая.",1
"Не стойкий аромат, не советую. уебищная Быстрая доставка.",1
"херня  К Каспи претензий нет, всё как обычно на высоте. Но вот духи Elizabeth Arden Green Tea оставляют желать лучшего. Запах классный, но через 5 минут как будто и не духарился. Очень плохо за такие деньги. Супруга разочарована.",1
"Парфюм не соответствует цене ГАВНА Ничего Нестойкие, супруге не понравились",1
проебалл Запах приятный.  Не совсем устойчивый.,1
б...  Не стойкий. Аромат не оправдал ожиданий,1
пиздатые  Запах нестойкий,1
дерьмо  Запах совсем другой,1
говно  Не стойкие абсолютно.,1
"жопой  По отзывам все хвалили. Но не знаю, запах вообще нестойкий, и спиртом пахнет. Каждый первый раз когда пшикаешь, спиртом отдаёт ужасно",1
"жопе  Нет не стойкий. За 18.000 даже даже не стоит.   держаться только на 1.30, 2 часа. Запах приятный, но не долгий.",1
дрянью  Запах нестойкий.,1
"Не советую. дрянью Флакон. Запах не очень, цитрус как оказалось, не стойкий.",1
"Незаслуженно такая стоимость бля Новый корпус За такие деньги хотелось бы стоящую начинку получить, если честно, от 6 плюс далеко не ушли, переплата фактически за корпус и за камеру, которая только больше подчеркивает несовершенства лица, новых функций как таковых нет",1
"сучка Быстрое оформление кредита и доставка в тот же день Всего 3 недели пользуюсь устройством. При покупке сомневалась в оригинальности телефона. Часто бывает такое, что половина экрана не показывает (чёрный экран). Ещё Touch ID плохо работает. Все-таки нужно было покупать у iPoint.",1
"п...  Передняя камера очень плохо снимает, и мой голос, когда разговариваю, плохо слышно",1
"Думаю, не оригинальный товар. жопы Фотографирует хорошо. Кнопка пробела не всегда работает.",1
"уебищная  Очень долго думает, мой 6 был намного шустрее. Неудобный, большой, тяжелый. Пожалела, что взяла, лучше бы Айфон 8 купила",1
"говно  Всем хорош телефон, но блокировка по отпечатку и распознованию лица абсолютно бесполезны. При всех установленных способах безопасности телефон спокойно разблокируется простым свайпом снизу вверх по экрану. В общем заходи кто хочет, других мер безопасности не предусмотрено.",1
"хер..  Нагревается, батарея быстро садится. Ну неужели нельзя было все это предусмотреть",1
"А так телефон хороший, не глючит, пока есть место для памяти. А дальше посмотрим. Спасибо Каспи Банку и продавцам, очень оперативно и быстро аппарат был уже на руках. дерьмо Работает быстрее интернет. Камера меня устраивает. Заряда батареи на день хватает. Память меньше, чем заявлено, это нехорошо. Потом плохо то, что можно вставить две сим-карты без возможности вставить флешку. Либо одна из сим-карт + флешка, либо две сим-карты Об этом не предупредили и ставят перед выбором",1
"мошенник  Обещанная память 32гб, на деле 19. Все его положительные качества «коту под хвост»",1
"мошенник Камера Батарея очень быстро садится, не хватает на полный день",1
"уеби¥¥ая  Телефон чуть лучше кирпича. Перевод превзошел все мои ожидания. Камера не соответствует 13 мегапикселям, как и ожидал, снимает хуже, чем нокия с6 с шестью мегапикселями. В настройках о системе написано вместо ""оперативной памяти""--> ""Баран"" - очень убедительно для тех, кто покупал его для себя и это чудо хвалит. Брал не для себя, а в  подарок.",1
